"*Master* - Odessa > 177 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 319 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
,,,,,10/15/2018 4:17:42 PM,0.4124114,0.4124114,0.4124114,,
,,,,,10/15/2018 4:18:42 PM,0.5268972,0.5268972,0.5268972,,
,,,,,10/15/2018 4:19:43 PM,0.4509456,0.4509456,0.4509456,,
,,,,,10/15/2018 4:20:43 PM,0.4056863,0.4056863,0.4056863,,
,,,,,10/15/2018 4:21:44 PM,0.5598995,0.5598995,0.5598995,,
,,,,,10/15/2018 4:23:46 PM,0.5669181,0.5669181,0.5669181,,
,,,,,10/15/2018 4:24:46 PM,0.5127601,0.5127601,0.5127601,,
,,,,,10/15/2018 4:25:47 PM,0.5460906,0.5460906,0.5460906,,
,,,,,10/15/2018 4:26:48 PM,0.4048084,0.4048084,0.4048084,,
,,,,,10/15/2018 4:27:48 PM,0.4234125,0.4234125,0.4234125,,
,,,,,10/15/2018 4:28:49 PM,0.5129006,0.5129006,0.5129006,,
,,,,,10/15/2018 4:29:50 PM,0.5511384,0.5511384,0.5511384,,
,,,,,10/15/2018 4:30:50 PM,0.5256496,0.5256496,0.5256496,,
,,,,,10/15/2018 4:31:51 PM,0.5109374,0.5109374,0.5109374,,
,,,,,10/15/2018 4:33:53 PM,0.5727015,0.5727015,0.5727015,,
,,,,,10/15/2018 4:34:53 PM,0.5901779,0.5901779,0.5901779,,
,,,,,10/15/2018 4:35:54 PM,0.5550269,0.5550269,0.5550269,,
,,,,,10/15/2018 4:37:56 PM,0.4751443,0.4751443,0.4751443,,
,,,,,10/15/2018 4:38:56 PM,0.567498,0.567498,0.567498,,
,,,,,10/15/2018 4:40:58 PM,0.5664803,0.5664803,0.5664803,,
,,,,,10/15/2018 4:43:00 PM,0.6221268,0.6221268,0.6221268,,
,,,,,10/15/2018 4:44:01 PM,0.6172054,0.6172054,0.6172054,,
,,,,,10/15/2018 4:45:01 PM,0.5406516,0.5406516,0.5406516,,
,,,,,10/15/2018 4:46:02 PM,0.6088791,0.6088791,0.6088791,,
,,,,,10/15/2018 4:47:03 PM,0.627637,0.627637,0.627637,,
,,,,,10/15/2018 4:48:03 PM,0.6500277,0.6500277,0.6500277,,
,,,,,10/15/2018 4:49:04 PM,0.6572533,0.6572533,0.6572533,,
,,,,,10/15/2018 4:50:05 PM,0.5890326,0.5890326,0.5890326,,
,,,,,10/15/2018 4:51:05 PM,0.4872363,0.4872363,0.4872363,,
,,,,,10/15/2018 4:52:06 PM,0.4990042,0.4990042,0.4990042,,
,,,,,10/15/2018 4:53:07 PM,0.4455544,0.4455544,0.4455544,,
,,,,,10/15/2018 4:54:07 PM,0.520718,0.520718,0.520718,,
,,,,,10/15/2018 4:55:08 PM,0.520705,0.520705,0.520705,,
,,,,,10/15/2018 4:56:09 PM,0.6656577,0.6656577,0.6656577,,
,,,,,10/15/2018 4:59:11 PM,0.4767318,0.4767318,0.4767318,,
,,,,,10/15/2018 5:00:12 PM,0.4378085,0.4378085,0.4378085,,
,,,,,10/15/2018 5:01:13 PM,0.3539852,0.3539852,0.3539852,,
,,,,,10/15/2018 5:02:13 PM,0.5446748,0.5446748,0.5446748,,
,,,,,10/15/2018 5:03:14 PM,0.436459,0.436459,0.436459,,
,,,,,10/15/2018 5:05:16 PM,0.4326854,0.4326854,0.4326854,,
,,,,,10/15/2018 5:06:16 PM,0.4312189,0.4312189,0.4312189,,
,,,,,10/15/2018 5:07:17 PM,0.3516647,0.3516647,0.3516647,,
,,,,,10/15/2018 5:08:17 PM,0.4360353,0.4360353,0.4360353,,
,,,,,10/15/2018 5:09:18 PM,0.4393559,0.4393559,0.4393559,,
,,,,,10/15/2018 5:10:19 PM,0.517705,0.517705,0.517705,,
,,,,,10/15/2018 5:11:19 PM,0.4069713,0.4069713,0.4069713,,
,,,,,10/15/2018 5:12:20 PM,0.4575698,0.4575698,0.4575698,,
,,,,,10/15/2018 5:13:21 PM,0.3783538,0.3783538,0.3783538,,
,,,,,10/15/2018 5:14:21 PM,0.4789395,0.4789395,0.4789395,,
,,,,,10/15/2018 5:15:22 PM,0.5391655,0.5391655,0.5391655,,
,,,,,10/15/2018 5:16:22 PM,0.4948156,0.4948156,0.4948156,,
,,,,,10/15/2018 5:17:23 PM,0.5449894,0.5449894,0.5449894,,
,,,,,10/15/2018 5:18:23 PM,0.4873452,0.4873452,0.4873452,,
,,,,,10/15/2018 5:19:24 PM,0.4855347,0.4855347,0.4855347,,
,,,,,10/15/2018 5:21:26 PM,0.5886219,0.5886219,0.5886219,,
,,,,,10/15/2018 5:22:26 PM,0.4184701,0.4184701,0.4184701,,
,,,,,10/15/2018 5:23:27 PM,0.416794,0.416794,0.416794,,
,,,,,10/15/2018 5:24:27 PM,0.4346976,0.4346976,0.4346976,,
,,,,,10/15/2018 5:25:28 PM,0.3951834,0.3951834,0.3951834,,
