"*Master* - Odessa > 54 > Power End > Hole 1 > Damage Accumulation",,,,,"*Master* - Odessa > 322 > Power End > Hole 1 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
10/15/2018 3:00:37 PM,0.0016034,0.0016034,0.0016034,,10/15/2018 3:00:33 PM,0.0014941,0.0014941,0.0014941,,
10/15/2018 3:01:38 PM,0.0017644,0.0017644,0.0017644,,10/15/2018 3:01:33 PM,0.0014723,0.0014723,0.0014723,,
10/15/2018 3:02:38 PM,0.0016727,0.0016727,0.0016727,,10/15/2018 3:02:34 PM,0.001481,0.001481,0.001481,,
10/15/2018 3:03:38 PM,0.0018367,0.0018367,0.0018367,,10/15/2018 3:03:34 PM,0.0016537,0.0016537,0.0016537,,
10/15/2018 3:04:39 PM,0.0016758,0.0016758,0.0016758,,10/15/2018 3:04:35 PM,0.0015248,0.0015248,0.0015248,,
10/15/2018 3:05:39 PM,0.0016569,0.0016569,0.0016569,,10/15/2018 3:05:35 PM,0.0015292,0.0015292,0.0015292,,
10/15/2018 3:06:40 PM,0.0017249,0.0017249,0.0017249,,10/15/2018 3:06:35 PM,0.0014983,0.0014983,0.0014983,,
10/15/2018 3:07:40 PM,0.0017171,0.0017171,0.0017171,,10/15/2018 3:07:36 PM,0.0015861,0.0015861,0.0015861,,
10/15/2018 3:08:40 PM,0.0016561,0.0016561,0.0016561,,10/15/2018 3:08:36 PM,0.0014817,0.0014817,0.0014817,,
10/15/2018 3:09:41 PM,0.0016977,0.0016977,0.0016977,,10/15/2018 3:09:37 PM,0.0014428,0.0014428,0.0014428,,
10/15/2018 3:10:41 PM,0.0016939,0.0016939,0.0016939,,10/15/2018 3:10:37 PM,0.0015871,0.0015871,0.0015871,,
10/15/2018 3:11:41 PM,0.0016125,0.0016125,0.0016125,,10/15/2018 3:11:38 PM,0.0016685,0.0016685,0.0016685,,
10/15/2018 3:12:42 PM,0.0016793,0.0016793,0.0016793,,10/15/2018 3:12:38 PM,0.0016075,0.0016075,0.0016075,,
10/15/2018 3:13:42 PM,0.0016514,0.0016514,0.0016514,,10/15/2018 3:13:38 PM,0.0015113,0.0015113,0.0015113,,
10/15/2018 3:14:42 PM,0.0016377,0.0016377,0.0016377,,10/15/2018 3:14:39 PM,0.0017069,0.0017069,0.0017069,,
10/15/2018 3:15:43 PM,0.0018162,0.0018162,0.0018162,,10/15/2018 3:15:39 PM,0.0015896,0.0015896,0.0015896,,
10/15/2018 3:16:43 PM,0.0018803,0.0018803,0.0018803,,10/15/2018 3:16:40 PM,0.0014316,0.0014316,0.0014316,,
10/15/2018 3:17:44 PM,0.0016364,0.0016364,0.0016364,,10/15/2018 3:17:40 PM,0.0016164,0.0016164,0.0016164,,
10/15/2018 3:18:44 PM,0.0016637,0.0016637,0.0016637,,10/15/2018 3:18:40 PM,0.0015689,0.0015689,0.0015689,,
10/15/2018 3:19:44 PM,0.0016653,0.0016653,0.0016653,,10/15/2018 3:19:41 PM,0.0015947,0.0015947,0.0015947,,
10/15/2018 3:20:45 PM,0.0017239,0.0017239,0.0017239,,10/15/2018 3:20:41 PM,0.0016206,0.0016206,0.0016206,,
10/15/2018 3:21:45 PM,0.0016946,0.0016946,0.0016946,,10/15/2018 3:21:42 PM,0.0015771,0.0015771,0.0015771,,
10/15/2018 3:22:46 PM,0.0017478,0.0017478,0.0017478,,10/15/2018 3:22:42 PM,0.0016228,0.0016228,0.0016228,,
10/15/2018 3:23:46 PM,0.0016831,0.0016831,0.0016831,,10/15/2018 3:23:42 PM,0.0015877,0.0015877,0.0015877,,
10/15/2018 3:24:46 PM,0.0015785,0.0015785,0.0015785,,10/15/2018 3:24:43 PM,0.001495,0.001495,0.001495,,
10/15/2018 3:25:47 PM,0.0015376,0.0015376,0.0015376,,10/15/2018 3:25:43 PM,0.0016332,0.0016332,0.0016332,,
10/15/2018 3:26:47 PM,0.0016874,0.0016874,0.0016874,,10/15/2018 3:26:44 PM,0.0015521,0.0015521,0.0015521,,
10/15/2018 3:27:47 PM,0.0017001,0.0017001,0.0017001,,10/15/2018 3:27:44 PM,0.001579,0.001579,0.001579,,
10/15/2018 3:28:48 PM,0.0016498,0.0016498,0.0016498,,10/15/2018 3:28:44 PM,0.0015009,0.0015009,0.0015009,,
10/15/2018 3:29:48 PM,0.0018401,0.0018401,0.0018401,,10/15/2018 3:29:45 PM,0.001553,0.001553,0.001553,,
10/15/2018 3:30:49 PM,0.0017302,0.0017302,0.0017302,,10/15/2018 3:30:45 PM,0.0016077,0.0016077,0.0016077,,
10/15/2018 3:31:49 PM,0.0017377,0.0017377,0.0017377,,10/15/2018 3:31:46 PM,0.0016404,0.0016404,0.0016404,,
10/15/2018 3:32:49 PM,0.001701,0.001701,0.001701,,10/15/2018 3:32:46 PM,0.0015272,0.0015272,0.0015272,,
10/15/2018 3:33:50 PM,0.0016473,0.0016473,0.0016473,,10/15/2018 3:33:46 PM,0.0015132,0.0015132,0.0015132,,
10/15/2018 3:34:50 PM,0.0018831,0.0018831,0.0018831,,10/15/2018 3:34:47 PM,0.001731,0.001731,0.001731,,
10/15/2018 3:35:50 PM,0.0017785,0.0017785,0.0017785,,10/15/2018 3:35:47 PM,0.001643,0.001643,0.001643,,
10/15/2018 3:36:51 PM,0.0180232,0.0180232,0.0180232,,10/15/2018 3:36:48 PM,0.0015644,0.0015644,0.0015644,,
10/15/2018 3:37:51 PM,0.0020098,0.0020098,0.0020098,,10/15/2018 3:37:48 PM,0.0017067,0.0017067,0.0017067,,
10/15/2018 3:38:52 PM,0.0020819,0.0020819,0.0020819,,10/15/2018 3:38:49 PM,0.0017487,0.0017487,0.0017487,,
10/15/2018 3:39:53 PM,0.0019362,0.0019362,0.0019362,,10/15/2018 3:39:49 PM,0.0016239,0.0016239,0.0016239,,
10/15/2018 3:40:53 PM,0.0019094,0.0019094,0.0019094,,10/15/2018 3:40:49 PM,0.0015219,0.0015219,0.0015219,,
10/15/2018 3:41:53 PM,0.001797,0.001797,0.001797,,10/15/2018 3:41:50 PM,0.0017285,0.0017285,0.0017285,,
10/15/2018 3:42:54 PM,0.0020586,0.0020586,0.0020586,,10/15/2018 3:42:50 PM,0.0015323,0.0015323,0.0015323,,
10/15/2018 3:43:54 PM,0.0018374,0.0018374,0.0018374,,10/15/2018 3:43:50 PM,0.0015029,0.0015029,0.0015029,,
10/15/2018 3:44:54 PM,0.0017272,0.0017272,0.0017272,,10/15/2018 3:44:51 PM,0.0015682,0.0015682,0.0015682,,
10/15/2018 3:45:55 PM,0.0020076,0.0020076,0.0020076,,10/15/2018 3:45:51 PM,0.0016244,0.0016244,0.0016244,,
10/15/2018 3:46:55 PM,0.0017169,0.0017169,0.0017169,,10/15/2018 3:46:52 PM,0.0015336,0.0015336,0.0015336,,
10/15/2018 3:47:55 PM,0.0016005,0.0016005,0.0016005,,10/15/2018 3:47:52 PM,0.0015785,0.0015785,0.0015785,,
10/15/2018 3:48:56 PM,0.0017485,0.0017485,0.0017485,,10/15/2018 3:48:53 PM,0.0015,0.0015,0.0015,,
10/15/2018 3:49:56 PM,0.001787,0.001787,0.001787,,10/15/2018 3:49:53 PM,0.0020005,0.0020005,0.0020005,,
10/15/2018 3:50:57 PM,0.0017697,0.0017697,0.0017697,,10/15/2018 3:50:53 PM,0.0031578,0.0031578,0.0031578,,
10/15/2018 3:51:57 PM,0.0020323,0.0020323,0.0020323,,10/15/2018 3:51:54 PM,0.0097264,0.0097264,0.0097264,,
10/15/2018 3:52:57 PM,0.0019055,0.0019055,0.0019055,,10/15/2018 3:52:54 PM,0.0838688,0.0838688,0.0838688,,
10/15/2018 3:53:58 PM,0.001824,0.001824,0.001824,,10/15/2018 3:53:55 PM,0.0584086,0.0584086,0.0584086,,
10/15/2018 3:54:58 PM,0.0018708,0.0018708,0.0018708,,10/15/2018 3:54:56 PM,0.1136194,0.1136194,0.1136194,,
10/15/2018 3:55:59 PM,0.0017612,0.0017612,0.0017612,,10/15/2018 3:55:56 PM,0.0022751,0.0022751,0.0022751,,
10/15/2018 3:56:59 PM,0.0017223,0.0017223,0.0017223,,10/15/2018 3:56:57 PM,0.1896714,0.1896714,0.1896714,,
10/15/2018 3:57:59 PM,0.0017652,0.0017652,0.0017652,,10/15/2018 3:57:57 PM,0.0409509,0.0409509,0.0409509,,
10/15/2018 3:59:00 PM,0.0024895,0.0024895,0.0024895,,10/15/2018 3:58:58 PM,0.0028749,0.0028749,0.0028749,,
10/15/2018 4:00:00 PM,0.0017583,0.0017583,0.0017583,,10/15/2018 3:59:59 PM,0.1862709,0.1862709,0.1862709,,
10/15/2018 4:01:01 PM,0.0020395,0.0020395,0.0020395,,10/15/2018 4:00:59 PM,0.0121523,0.0121523,0.0121523,,
10/15/2018 4:02:01 PM,0.0018799,0.0018799,0.0018799,,10/15/2018 4:02:00 PM,0.0822722,0.0822722,0.0822722,,
10/15/2018 4:03:01 PM,0.0016466,0.0016466,0.0016466,,10/15/2018 4:03:00 PM,0.1104945,0.1104945,0.1104945,,
10/15/2018 4:04:02 PM,0.0018068,0.0018068,0.0018068,,10/15/2018 4:04:01 PM,0.0257099,0.0257099,0.0257099,,
10/15/2018 4:05:02 PM,0.001828,0.001828,0.001828,,10/15/2018 4:05:01 PM,0.1527524,0.1527524,0.1527524,,
10/15/2018 4:06:03 PM,0.1625473,0.1625473,0.1625473,,10/15/2018 4:06:02 PM,0.0320137,0.0320137,0.0320137,,
10/15/2018 4:07:03 PM,0.3301207,0.3301207,0.3301207,,10/15/2018 4:07:02 PM,0.0067704,0.0067704,0.0067704,,
10/15/2018 4:08:04 PM,0.2039929,0.2039929,0.2039929,,10/15/2018 4:08:04 PM,0.2653639,0.2653639,0.2653639,,
10/15/2018 4:09:04 PM,0.4280186,0.4280186,0.4280186,,10/15/2018 4:09:04 PM,0.2693567,0.2693567,0.2693567,,
10/15/2018 4:10:05 PM,0.2153777,0.2153777,0.2153777,,10/15/2018 4:10:04 PM,0.2615079,0.2615079,0.2615079,,
10/15/2018 4:11:06 PM,0.6785875,0.6785875,0.6785875,,10/15/2018 4:11:05 PM,0.5835499,0.5835499,0.5835499,,
10/15/2018 4:12:06 PM,0.5288886,0.5288886,0.5288886,,10/15/2018 4:12:06 PM,0.6638594,0.6638594,0.6638594,,
10/15/2018 4:13:07 PM,0.5308864,0.5308864,0.5308864,,10/15/2018 4:13:06 PM,0.6897675,0.6897675,0.6897675,,
10/15/2018 4:14:07 PM,0.5352226,0.5352226,0.5352226,,10/15/2018 4:14:07 PM,0.6492697,0.6492697,0.6492697,,
10/15/2018 4:15:08 PM,0.5251024,0.5251024,0.5251024,,10/15/2018 4:15:08 PM,0.6076998,0.6076998,0.6076998,,
10/15/2018 4:16:09 PM,0.5374403,0.5374403,0.5374403,,10/15/2018 4:16:08 PM,0.671891,0.671891,0.671891,,
10/15/2018 4:17:09 PM,1.2011638,1.2011638,1.2011638,,10/15/2018 4:18:10 PM,0.6767909,0.6767909,0.6767909,,
10/15/2018 4:18:10 PM,0.6298318,0.6298318,0.6298318,,10/15/2018 4:19:10 PM,0.6455766,0.6455766,0.6455766,,
10/15/2018 4:19:10 PM,0.908109,0.908109,0.908109,,10/15/2018 4:20:11 PM,0.693371,0.693371,0.693371,,
10/15/2018 4:20:11 PM,0.5277152,0.5277152,0.5277152,,10/15/2018 4:21:11 PM,0.6597045,0.6597045,0.6597045,,
10/15/2018 4:21:12 PM,0.7278894,0.7278894,0.7278894,,10/15/2018 4:22:12 PM,0.638426,0.638426,0.638426,,
10/15/2018 4:22:12 PM,0.5502308,0.5502308,0.5502308,,10/15/2018 4:23:13 PM,0.6722998,0.6722998,0.6722998,,
10/15/2018 4:23:13 PM,1.1095434,1.1095434,1.1095434,,10/15/2018 4:24:13 PM,0.649925,0.649925,0.649925,,
10/15/2018 4:24:13 PM,0.6109313,0.6109313,0.6109313,,10/15/2018 4:25:14 PM,0.6210523,0.6210523,0.6210523,,
10/15/2018 4:25:14 PM,0.8954825,0.8954825,0.8954825,,10/15/2018 4:27:15 PM,0.9906625,0.9906625,0.9906625,,
10/15/2018 4:26:15 PM,0.5378917,0.5378917,0.5378917,,10/15/2018 4:28:16 PM,0.5998888,0.5998888,0.5998888,,
10/15/2018 4:27:15 PM,1.2278545,1.2278545,1.2278545,,10/15/2018 4:29:17 PM,0.5850208,0.5850208,0.5850208,,
10/15/2018 4:28:16 PM,1.169221,1.169221,1.169221,,10/15/2018 4:30:17 PM,0.7329494,0.7329494,0.7329494,,
10/15/2018 4:29:17 PM,0.5921663,0.5921663,0.5921663,,10/15/2018 4:31:18 PM,0.6006291,0.6006291,0.6006291,,
10/15/2018 4:30:17 PM,1.0386274,1.0386274,1.0386274,,10/15/2018 4:32:18 PM,0.6397227,0.6397227,0.6397227,,
10/15/2018 4:31:18 PM,0.8633632,0.8633632,0.8633632,,10/15/2018 4:34:20 PM,0.5834219,0.5834219,0.5834219,,
10/15/2018 4:32:18 PM,0.5877499,0.5877499,0.5877499,,10/15/2018 4:35:20 PM,0.6492976,0.6492976,0.6492976,,
10/15/2018 4:33:19 PM,0.6797902,0.6797902,0.6797902,,10/15/2018 4:36:21 PM,0.7718222,0.7718222,0.7718222,,
10/15/2018 4:34:19 PM,0.7939386,0.7939386,0.7939386,,10/15/2018 4:37:22 PM,0.6142668,0.6142668,0.6142668,,
10/15/2018 4:35:20 PM,0.7516233,0.7516233,0.7516233,,10/15/2018 4:38:22 PM,0.6517734,0.6517734,0.6517734,,
