"*Master* - Odessa > 45 > Power End > Hole 5 > Damage Accumulation",,,,,"*Master* - Odessa > 477 > Power End > Hole 5 > Damage Accumulation",,,,,
Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,Time (UTC), Avg(Damage), Min(Damage), Max(Damage),,
10/15/2018 3:00:36 PM,0.0023123,0.0023123,0.0023123,,10/15/2018 3:00:01 PM,0.0017967,0.0017967,0.0017967,,
10/15/2018 3:01:36 PM,0.0023025,0.0023025,0.0023025,,10/15/2018 3:01:01 PM,0.0019039,0.0019039,0.0019039,,
10/15/2018 3:02:37 PM,0.002091,0.002091,0.002091,,10/15/2018 3:02:02 PM,0.0017325,0.0017325,0.0017325,,
10/15/2018 3:03:37 PM,0.0021365,0.0021365,0.0021365,,10/15/2018 3:03:02 PM,0.0018323,0.0018323,0.0018323,,
10/15/2018 3:04:38 PM,0.0023299,0.0023299,0.0023299,,10/15/2018 3:04:04 PM,0.0017667,0.0017667,0.0017667,,
10/15/2018 3:05:38 PM,0.0021463,0.0021463,0.0021463,,10/15/2018 3:05:03 PM,0.0020827,0.0020827,0.0020827,,
10/15/2018 3:06:38 PM,0.0021527,0.0021527,0.0021527,,10/15/2018 3:06:04 PM,0.0019205,0.0019205,0.0019205,,
10/15/2018 3:07:39 PM,0.0024361,0.0024361,0.0024361,,10/15/2018 3:07:04 PM,0.0017584,0.0017584,0.0017584,,
10/15/2018 3:08:39 PM,0.0022007,0.0022007,0.0022007,,10/15/2018 3:08:04 PM,0.0019922,0.0019922,0.0019922,,
10/15/2018 3:09:40 PM,0.0025311,0.0025311,0.0025311,,10/15/2018 3:09:05 PM,0.0018596,0.0018596,0.0018596,,
10/15/2018 3:10:40 PM,0.0023397,0.0023397,0.0023397,,10/15/2018 3:10:05 PM,0.001945,0.001945,0.001945,,
10/15/2018 3:11:40 PM,0.002163,0.002163,0.002163,,10/15/2018 3:11:06 PM,0.0018129,0.0018129,0.0018129,,
10/15/2018 3:12:41 PM,0.0022276,0.0022276,0.0022276,,10/15/2018 3:12:06 PM,0.001824,0.001824,0.001824,,
10/15/2018 3:13:41 PM,0.0021737,0.0021737,0.0021737,,10/15/2018 3:13:07 PM,0.0018808,0.0018808,0.0018808,,
10/15/2018 3:14:42 PM,0.0023368,0.0023368,0.0023368,,10/15/2018 3:14:07 PM,0.0018184,0.0018184,0.0018184,,
10/15/2018 3:15:42 PM,0.0022874,0.0022874,0.0022874,,10/15/2018 3:15:08 PM,0.0019441,0.0019441,0.0019441,,
10/15/2018 3:16:43 PM,0.0023607,0.0023607,0.0023607,,10/15/2018 3:16:08 PM,0.0019062,0.0019062,0.0019062,,
10/15/2018 3:17:43 PM,0.0022481,0.0022481,0.0022481,,10/15/2018 3:17:08 PM,0.0018559,0.0018559,0.0018559,,
10/15/2018 3:18:43 PM,0.0022232,0.0022232,0.0022232,,10/15/2018 3:18:09 PM,0.00183,0.00183,0.00183,,
10/15/2018 3:19:44 PM,0.0024043,0.0024043,0.0024043,,10/15/2018 3:19:11 PM,0.0018822,0.0018822,0.0018822,,
10/15/2018 3:20:44 PM,0.0023299,0.0023299,0.0023299,,10/15/2018 3:20:10 PM,0.0018244,0.0018244,0.0018244,,
10/15/2018 3:21:45 PM,0.0022741,0.0022741,0.0022741,,10/15/2018 3:21:10 PM,0.001781,0.001781,0.001781,,
10/15/2018 3:22:45 PM,0.0022501,0.0022501,0.0022501,,10/15/2018 3:22:11 PM,0.0017025,0.0017025,0.0017025,,
10/15/2018 3:23:46 PM,0.0021992,0.0021992,0.0021992,,10/15/2018 3:23:11 PM,0.0017196,0.0017196,0.0017196,,
10/15/2018 3:24:46 PM,0.0021982,0.0021982,0.0021982,,10/15/2018 3:24:11 PM,0.0018545,0.0018545,0.0018545,,
10/15/2018 3:25:46 PM,0.0023373,0.0023373,0.0023373,,10/15/2018 3:25:12 PM,0.0019367,0.0019367,0.0019367,,
10/15/2018 3:26:47 PM,0.0022942,0.0022942,0.0022942,,10/15/2018 3:26:12 PM,0.0018023,0.0018023,0.0018023,,
10/15/2018 3:27:47 PM,0.0023275,0.0023275,0.0023275,,10/15/2018 3:27:13 PM,0.001732,0.001732,0.001732,,
10/15/2018 3:28:48 PM,0.0023637,0.0023637,0.0023637,,10/15/2018 3:28:13 PM,0.0016641,0.0016641,0.0016641,,
10/15/2018 3:29:48 PM,0.0020743,0.0020743,0.0020743,,10/15/2018 3:29:13 PM,0.0018665,0.0018665,0.0018665,,
10/15/2018 3:30:49 PM,0.0022447,0.0022447,0.0022447,,10/15/2018 3:30:14 PM,0.0019002,0.0019002,0.0019002,,
10/15/2018 3:31:49 PM,0.0023147,0.0023147,0.0023147,,10/15/2018 3:31:14 PM,0.0019806,0.0019806,0.0019806,,
10/15/2018 3:32:49 PM,0.0022697,0.0022697,0.0022697,,10/15/2018 3:32:15 PM,0.0019011,0.0019011,0.0019011,,
10/15/2018 3:33:50 PM,0.0021586,0.0021586,0.0021586,,10/15/2018 3:33:15 PM,0.0018522,0.0018522,0.0018522,,
10/15/2018 3:34:50 PM,0.0024831,0.0024831,0.0024831,,10/15/2018 3:34:16 PM,0.0019737,0.0019737,0.0019737,,
10/15/2018 3:35:51 PM,0.0026623,0.0026623,0.0026623,,10/15/2018 3:35:16 PM,0.0018457,0.0018457,0.0018457,,
10/15/2018 3:36:51 PM,0.0023584,0.0023584,0.0023584,,10/15/2018 3:36:16 PM,0.0018688,0.0018688,0.0018688,,
10/15/2018 3:37:52 PM,0.0023808,0.0023808,0.0023808,,10/15/2018 3:37:17 PM,0.00203,0.00203,0.00203,,
10/15/2018 3:38:52 PM,0.0023074,0.0023074,0.0023074,,10/15/2018 3:38:17 PM,0.0019797,0.0019797,0.0019797,,
10/15/2018 3:39:53 PM,0.0022452,0.0022452,0.0022452,,10/15/2018 3:39:18 PM,0.0020702,0.0020702,0.0020702,,
10/15/2018 3:40:53 PM,0.0336238,0.0336238,0.0336238,,10/15/2018 3:40:18 PM,0.0020675,0.0020675,0.0020675,,
10/15/2018 3:41:53 PM,0.0025708,0.0025708,0.0025708,,10/15/2018 3:41:19 PM,0.0020675,0.0020675,0.0020675,,
10/15/2018 3:42:54 PM,0.0022873,0.0022873,0.0022873,,10/15/2018 3:42:19 PM,0.001854,0.001854,0.001854,,
10/15/2018 3:43:54 PM,0.0024342,0.0024342,0.0024342,,10/15/2018 3:43:19 PM,0.0018009,0.0018009,0.0018009,,
10/15/2018 3:44:55 PM,0.0021483,0.0021483,0.0021483,,10/15/2018 3:44:20 PM,0.0019058,0.0019058,0.0019058,,
10/15/2018 3:45:55 PM,0.0026016,0.0026016,0.0026016,,10/15/2018 3:45:20 PM,0.0019922,0.0019922,0.0019922,,
10/15/2018 3:46:56 PM,0.0024337,0.0024337,0.0024337,,10/15/2018 3:46:21 PM,0.0020855,0.0020855,0.0020855,,
10/15/2018 3:47:56 PM,0.0024333,0.0024333,0.0024333,,10/15/2018 3:47:21 PM,0.0021649,0.0021649,0.0021649,,
10/15/2018 3:48:57 PM,0.0022428,0.0022428,0.0022428,,10/15/2018 3:48:22 PM,0.0030585,0.0030585,0.0030585,,
10/15/2018 3:49:57 PM,0.0025424,0.0025424,0.0025424,,10/15/2018 3:49:22 PM,0.2084597,0.2084597,0.2084597,,
10/15/2018 3:50:57 PM,0.0026285,0.0026285,0.0026285,,10/15/2018 3:50:23 PM,0.369168,0.369168,0.369168,,
10/15/2018 3:51:58 PM,0.002444,0.002444,0.002444,,10/15/2018 3:51:23 PM,0.2792603,0.2792603,0.2792603,,
10/15/2018 3:52:58 PM,0.0025306,0.0025306,0.0025306,,10/15/2018 3:52:24 PM,0.2355834,0.2355834,0.2355834,,
10/15/2018 3:53:59 PM,0.0025507,0.0025507,0.0025507,,10/15/2018 3:53:25 PM,0.2865326,0.2865326,0.2865326,,
10/15/2018 3:54:59 PM,0.0026114,0.0026114,0.0026114,,10/15/2018 3:54:25 PM,0.2357676,0.2357676,0.2357676,,
10/15/2018 3:56:00 PM,0.0023397,0.0023397,0.0023397,,10/15/2018 3:55:26 PM,0.3689852,0.3689852,0.3689852,,
10/15/2018 3:57:00 PM,0.0024161,0.0024161,0.0024161,,10/15/2018 3:56:26 PM,0.2282868,0.2282868,0.2282868,,
10/15/2018 3:58:01 PM,0.002444,0.002444,0.002444,,10/15/2018 3:57:27 PM,0.4417895,0.4417895,0.4417895,,
10/15/2018 3:59:01 PM,0.0024293,0.0024293,0.0024293,,10/15/2018 3:58:28 PM,0.224192,0.224192,0.224192,,
10/15/2018 4:00:01 PM,0.0026006,0.0026006,0.0026006,,10/15/2018 3:59:28 PM,0.4118671,0.4118671,0.4118671,,
10/15/2018 4:01:02 PM,0.0026481,0.0026481,0.0026481,,10/15/2018 4:01:30 PM,0.436121,0.436121,0.436121,,
10/15/2018 4:02:02 PM,0.0025434,0.0025434,0.0025434,,10/15/2018 4:02:30 PM,0.2325725,0.2325725,0.2325725,,
10/15/2018 4:03:03 PM,0.0026883,0.0026883,0.0026883,,10/15/2018 4:03:31 PM,0.3771554,0.3771554,0.3771554,,
10/15/2018 4:04:03 PM,0.0025341,0.0025341,0.0025341,,10/15/2018 4:04:31 PM,0.3253355,0.3253355,0.3253355,,
10/15/2018 4:05:04 PM,0.0030883,0.0030883,0.0030883,,10/15/2018 4:05:32 PM,0.698004,0.698004,0.698004,,
10/15/2018 4:06:04 PM,0.7489901,0.7489901,0.7489901,,10/15/2018 4:06:33 PM,0.6187696,0.6187696,0.6187696,,
10/15/2018 4:08:06 PM,0.8199016,0.8199016,0.8199016,,10/15/2018 4:07:33 PM,0.5815953,0.5815953,0.5815953,,
10/15/2018 4:09:06 PM,0.6388128,0.6388128,0.6388128,,10/15/2018 4:08:34 PM,0.5358415,0.5358415,0.5358415,,
10/15/2018 4:10:07 PM,0.6942553,0.6942553,0.6942553,,10/15/2018 4:09:35 PM,0.6339244,0.6339244,0.6339244,,
10/15/2018 4:11:07 PM,1.5158682,1.5158682,1.5158682,,10/15/2018 4:10:35 PM,0.4675744,0.4675744,0.4675744,,
10/15/2018 4:12:08 PM,1.3645345,1.3645345,1.3645345,,10/15/2018 4:11:36 PM,0.5974706,0.5974706,0.5974706,,
10/15/2018 4:13:09 PM,1.1729132,1.1729132,1.1729132,,10/15/2018 4:12:37 PM,0.6955485,0.6955485,0.6955485,,
10/15/2018 4:14:09 PM,1.2333227,1.2333227,1.2333227,,10/15/2018 4:13:37 PM,0.5712817,0.5712817,0.5712817,,
10/15/2018 4:15:10 PM,1.2379748,1.2379748,1.2379748,,10/15/2018 4:14:38 PM,0.6708477,0.6708477,0.6708477,,
10/15/2018 4:16:11 PM,1.6365692,1.6365692,1.6365692,,10/15/2018 4:15:39 PM,0.7004221,0.7004221,0.7004221,,
10/15/2018 4:17:11 PM,1.6034196,1.6034196,1.6034196,,10/15/2018 4:16:39 PM,0.8029183,0.8029183,0.8029183,,
10/15/2018 4:18:12 PM,1.183811,1.183811,1.183811,,10/15/2018 4:17:40 PM,1.2622692,1.2622692,1.2622692,,
10/15/2018 4:19:13 PM,1.36234,1.36234,1.36234,,10/15/2018 4:18:41 PM,0.695385,0.695385,0.695385,,
10/15/2018 4:20:13 PM,1.5238503,1.5238503,1.5238503,,10/15/2018 4:19:41 PM,0.7018935,0.7018935,0.7018935,,
10/15/2018 4:21:14 PM,1.7509547,1.7509547,1.7509547,,10/15/2018 4:20:42 PM,0.7378639,0.7378639,0.7378639,,
10/15/2018 4:22:15 PM,1.2363648,1.2363648,1.2363648,,10/15/2018 4:21:43 PM,0.7497524,0.7497524,0.7497524,,
10/15/2018 4:23:15 PM,1.2737542,1.2737542,1.2737542,,10/15/2018 4:22:43 PM,0.8518141,0.8518141,0.8518141,,
10/15/2018 4:24:16 PM,1.1764064,1.1764064,1.1764064,,10/15/2018 4:23:44 PM,1.3322406,1.3322406,1.3322406,,
10/15/2018 4:25:17 PM,1.2245215,1.2245215,1.2245215,,10/15/2018 4:24:45 PM,1.3980095,1.3980095,1.3980095,,
10/15/2018 4:26:17 PM,1.2032941,1.2032941,1.2032941,,10/15/2018 4:25:46 PM,0.8570769,0.8570769,0.8570769,,
10/15/2018 4:27:18 PM,1.4098676,1.4098676,1.4098676,,10/15/2018 4:26:47 PM,1.7838998,1.7838998,1.7838998,,
10/15/2018 4:28:18 PM,1.5975011,1.5975011,1.5975011,,10/15/2018 4:27:47 PM,1.13439,1.13439,1.13439,,
10/15/2018 4:29:19 PM,1.2630749,1.2630749,1.2630749,,10/15/2018 4:28:48 PM,0.8186029,0.8186029,0.8186029,,
10/15/2018 4:30:20 PM,1.4066734,1.4066734,1.4066734,,10/15/2018 4:29:49 PM,0.9286199,0.9286199,0.9286199,,
10/15/2018 4:31:20 PM,1.7419555,1.7419555,1.7419555,,10/15/2018 4:30:50 PM,0.8991833,0.8991833,0.8991833,,
10/15/2018 4:32:21 PM,1.3796663,1.3796663,1.3796663,,10/15/2018 4:31:50 PM,0.8243489,0.8243489,0.8243489,,
10/15/2018 4:33:22 PM,1.0262821,1.0262821,1.0262821,,10/15/2018 4:32:51 PM,1.4399225,1.4399225,1.4399225,,
10/15/2018 4:34:22 PM,1.0545907,1.0545907,1.0545907,,10/15/2018 4:33:52 PM,1.3307127,1.3307127,1.3307127,,
10/15/2018 4:35:23 PM,1.314239,1.314239,1.314239,,10/15/2018 4:34:52 PM,1.1532255,1.1532255,1.1532255,,
